author,published_at,like_count,comment
@Todd-v2n,2025-04-05T23:03:14Z,0,"Tired of the ""recession is coming!"" threat. Recessive periods come along with equivalent market opportunities if you are well informed and equipped, I've seen folks amass wealth in the midst of economic turmoil and even pull it off easily in favorable conditions. Invariably, the collapse is getting somebody somewhere rich"
@lawrencedsouza7965,2025-04-05T17:29:41Z,0,"Woah can you make an updated video after the fall on Thursday and Friday, really very informative. Thank you"
@youngsterme5301,2025-04-05T17:18:26Z,0,"Your videos are awesome, please cover rohan.learns case! He is taking a stand for women's harassment around him in external affairs department of India"
@i9h-fd,2025-04-05T16:36:09Z,0,"Bharat should NOT open its market to china to help kill the chinese economy before Trump changes
Course when Indian economy will have wind on its back."
@crazyroni1915,2025-04-05T15:12:48Z,0,Sir it is the time i think you should make the vidio on ambanis- oil king of india..
@maheshkumar-mg8yx,2025-04-05T14:13:57Z,0,Sir tesla khud hi fail ho rahi thi as a company BYD bhut agey nikal gai hai. America bhi fail ho raha tha as an economy. To ye sab jaan boojh kar kiya ja raha hai aap ney suna hi hoga hum to dubengey sanam tumhey bhi ley dubengey.
@AurojitDas,2025-04-05T14:03:06Z,0,bhai 10 din baad banana tha na video
@sasidharannair8970,2025-04-05T13:15:02Z,0,No
@YogiLogic,2025-04-05T12:09:42Z,0,Yield curve has predicted every recession in the past and about 200 more. Cool it down people. We have seen this movie before. This too will pass. Invest for long term and enjoy the ride.
@vishalkumarjha8215,2025-04-05T11:26:52Z,0,What will be the effect in Infosys will employees loss job?
@rohanshelar1803,2025-04-05T09:22:08Z,0,"Remember the time when finance minister in parliament said, FIIs may come and go retailers have shock absorbing quality, ab karo shock absorb"
@dotakekatrader7887,2025-04-05T08:43:23Z,0,"frankly speaking no one is panicking yet.. except for youtubers and finfluencers trying to create fear among their audience. you guys always want high octane content, and for that you guys will suck the blood out of the middle class and commoners. Anywys kudos to you for successfully mongering fear among your audience. Even if recession hits the global market or India, its not dooms day like every one will die and commit suicide. Certainly things will be slower, duller and calmer. But thats how life is. Anyways keep dooing the shit work you guys keep doing."
@X_4gamer,2025-04-05T07:16:25Z,1,This guy never disappoint us bruuh you are so good.🙌
@dammikakularatne4417,2025-04-05T06:44:59Z,0,How to enroll this master class course???
@parshvashah5037,2025-04-05T05:05:17Z,0,Can you make a detailed video on how tariffs and gdp are connected and how these trade wars can impact india
@TreasureHuntGame001,2025-04-05T01:58:19Z,0,Good explanation
@nathanvancesr2409,2025-04-04T23:42:29Z,0,2025 - 2026 or ELSE!~ EXODUS
@storytrotter,2025-04-04T22:31:49Z,0,Essentially they get what they voted for😅
@LesterHess-t1x,2025-04-04T12:35:32Z,3,The recession scare is surreal and the market is really panicking at this moment and I'm worried what effect this frenzy could have on my portfolio of about 80k. Could you make any recommendations on how I could preserve my portfolio during this period and also make profit from the market situation?
@ptseti,2025-04-04T10:50:54Z,1,Yawning** 🥱🥱🥱 Americans chose this. Now India is cozying up to the U.S.—what’s the move for self-preservation? **Simple: Get out of bed.
@itsmesurajprakash8677,2025-04-04T09:13:40Z,0,Is it good time to start any DOOH ads agency in india 🧐
@alabaamadi8460,2025-04-04T07:55:02Z,0,"....... CHICKEN WAR; POST WW2... WEST GERMANY vs AMERICA...

LONG TERM..AMERICA'S FAVOUR... SHORT TERM SHOCK... AMERICA SAYS WE CAN COPE WITH THAT...

DIFFERENTIAL TARRIFS; CHINA 60%, INDIA 10+27%= 37%..

VULNERABLE COUNTRIES;
5-6 MONTHS...INDIA CAN NOT HANDLE...WATCH OUT MARKETS AND JOBS...

LIGHTLY EFFECTED COUNTRIES;
CHINA..WILL BE EFFECTED, BUT WILL SUFFICE, ..HAVING 10 S.EAST ASIAN, COUNTRIES... WILL ... I THINK AMERICA WILL REDUCE TAX ON CHINA...

EU; 27 COUNTRIES HAVE BARGAINING MARKET..

GULF ARAB COUNTRIES..ENERGY..NOT IN THE TABLE...NOTHING MAJOR TO DO...

NOW, INDIA IS A VERY PRECARIOUS SITUATION; BECAUSE, AN ODDLY STANDING ALONE, ..WITH HIGHLY ENTANGLED WESTERN MARKETS ..REMEMBER..INDIA'S CONSUMERS...AND MSEs, BEHAVIOUR  IS DIFFERNT FROM WESTERN,.MARKETS..GOSSIP....MANIPULATION FAKE NEWS..(MEERCAT LOOK OUT)😢..CREATS FEAR AND PANIC WITHIN THE MSEs, AND CONSUMERS...."
@naniyt-fh1yo,2025-04-04T07:30:06Z,0,Hi
@user-jh9kj5hk8h,2025-04-04T06:18:12Z,0,Matlab kuchh bhi !!!🤣 jaise recessions tho pehle kabhi hue hee nahi.!!! Recessions banaye jaathe hai reset ke liye - kuch soft aur kuch hard.
@hfhsj12,2025-04-04T05:59:27Z,0,Where is india in trouble?our macro economic situation beat in such a way that he will never forget his avaricious actions.
@user8901-x1m,2025-04-04T03:09:55Z,0,Cash is king during recession times.  So save enough in liquid assets.
@SaahilSethy,2025-04-03T20:39:36Z,1,BRICS is the way to go !
@shatwikshankar05,2025-04-03T20:32:21Z,0,"So …you are saying we are having kind of opportunity..??
To replace china and be a basket for everything"
@Anchor26,2025-04-03T18:48:02Z,0,THANKS
@Doz997,2025-04-03T13:44:45Z,0,Dedollarisaton 😍
@manujolly544,2025-04-03T11:49:33Z,0,How about selling a house ?
@MagarethWoods,2025-04-03T10:37:48Z,38,"I'm 54 and my wife and I are VERY worried about our future, gas and food prices rising daily. We have had our savings dwindle with the cost of living into the stratosphere, and we are finding it impossible to replace them. We can get by, but can't seem to get ahead. My condolences to anyone retiring in this crisis, 30 years nonstop just for a crooked system to take all you worked for."
@nakulniwal9150,2025-04-03T08:24:09Z,1,Very well explained!!
@athishathish2373,2025-04-03T08:10:39Z,0,Super video
@nancybernard8704,2025-04-03T06:21:25Z,3,"You explained the recession very clearly. It was insightful, and I would like to share this with my circle. I appreciate your case study and the clarity with which you explained it."
@swaroopw,2025-04-03T05:52:33Z,0,26% tariffs on India. 😢
@Proritisingwithtime,2025-04-03T04:25:53Z,3,"This video perfectly explain the recession cycle.Its crucial to understand how economic downfall affects investment, business and jobs and how to recover from it.The yield curve part was best! Thanks for breaking down important topics so well."
@ScienceandTechAI,2025-04-03T03:57:50Z,0,Recession is on going bro for last 2 years. Just it is no more important to the people. Reels and other things are important over the real issues. 💔💔💔
@kiranbsv1569,2025-04-02T16:47:22Z,1,"Why did he say , do not buy a house ?"
@jayaram5127,2025-04-02T16:42:09Z,0,"Inaccurate, yield curve inversion does not necessarily mean recession but the other way around is true."
@Hafeez-Ur-Rehmann,2025-04-02T15:45:00Z,0,This recession is the indicator for fall of Real Estate Market of USA and UAE
@percygoals,2025-04-02T14:05:58Z,888,"Honestly, this concerns me and has left me uneasy. Especially this potential depression, no more a recession. I'm unsure about my $130K account strategy, considering the uncertainty of this whole recession mostly."
@harshpalsinghkhurana3743,2025-04-02T10:15:30Z,3,"Please talk about inflation, job market, consumer, in India than of other countries"
@RR-pg3hw,2025-04-02T08:45:18Z,0,"Who will teach Trump some basic sense.. the hardest part that they are missing on is that once the prices that go up, it never comes down for whatever reasons."
@zubindabdi4575,2025-04-02T08:12:32Z,2,"Nobody, I repeat nobody had to be personal 😂"
@rahimrichards7107,2025-04-02T05:45:45Z,0,"I love your Geo-political videos. There was a time when I loved Ganesh a lot, but I felt this earlier that he was a little biased and was giving one sided opinions when it comes to Indian politics. 

Today I subscribed to his channel again. 😁"
@gorlaharika8445,2025-04-02T04:13:58Z,0,US tech is overvalued anyways...tech stocks and markets have grown close to 100% in the last 4+ years.. small correction wouldn't cause a dent to these companies...
@mustang0658,2025-04-02T04:12:01Z,0,"Recession in America?? What about the DRASTIC CRASH OF INDIAN STOKES MARKET?  
Focus on your own country before trying to pick on others. 
America has its own problem but India have much greater PROBLEM to revive from its own STUPID GST POLICY!!"
@nagsvlog3063,2025-04-02T03:44:14Z,0,🙃
@sumanthreddym.4580,2025-04-02T03:11:18Z,0,So india can yariff outsiders 100%. And those outsiders like usa cant tariff us what we are tariffing them fck hipocricy of our indians
@onylee,2025-04-02T00:20:31Z,588,"If the Fed wanted to lower inflation then they have to address the root cause. And the root cause is the outrageous price of gasoline and diesel which causes everything to increase in price. The oil companies and refineries are gouging, period. The government needs to make an example of one oil company, national it, the other oil companies will crap  their pants and lower the fuel cost instantly. If the oil companies don’t lower their prices then the government just orders their newly nationalized oil company to compete against the other oil companies. I don’t think this will happen because the government is in big oils back pocket. And the government wants inflation high to deal with the 31 trillion in debt. if you are losing in the current dip or you look forward to start the best way to go is trading with the guidance of an expert. Adriana Mcgrath has been one step ahead of other analysis, with her strategy I was able to accumulate 15.03 Btc lately."
@clutchandbrakes,2025-04-01T23:24:52Z,3,Very well said about working on skills and on improving communication.
@siddharthkanumuri1758,2025-04-01T18:23:03Z,0,Freebies and reservations are real threat to India at this times 😮
@mohitharwani,2025-04-01T16:49:52Z,0,strategy please
@RavinderDutt-v7g,2025-04-01T14:57:42Z,0,Yearshs Rupeezzzz pershent
@firstpostcommenter8078,2025-04-01T13:06:16Z,0,7:30 explanation of difference between Bond interest rate and bond yield
@parijatgoswami9134,2025-04-01T12:41:17Z,0,USA🇺🇲 a Historical Geo-Political World's most Untrustworthy Enemy Country.
@athulya4147,2025-04-01T11:49:44Z,1,So taking his communication course is the only thing that can save us from the recession.
@ToonX,2025-04-01T10:50:39Z,0,"Why I would need your course, I have AI that can do everything that your whole entire team can't compete."
@WaqasAli-tp1jf,2025-04-01T09:44:34Z,0,What USA is doing they r gambling with their economy and my personal opinion is it's the end of empire US it will never recover
@vbchannel1517,2025-04-01T09:17:05Z,0,India is going to be Endia if we do not realise and use the global opportunities 😂😂😂
@apekshasinghbhama9041,2025-04-01T09:16:52Z,0,already predicted by Simpsons
@Cute_drawing_studio,2025-04-01T05:55:16Z,0,"Metternich dialogue 😮😅 
Good place"
@TechAndBizInsights,2025-04-01T04:58:28Z,0,"Trump Trade War 2.0 & Its Shockwave on India 😱 | What to Sell & What to Buy? | Impact & Strategy!
https://youtu.be/-IyZsmrhPKI"
@surabhiagrawal9214,2025-04-01T03:13:21Z,0,"If Trump’s policies are hurting America so much, why did people there vote for him, especially given that Americans had seen Trump’s working and mindset before also."
@DummyUseless-er3dn,2025-04-01T02:11:50Z,0,7:00 bond’s interest rate and yield are not the same. Good point
@customerworld,2025-03-31T23:17:09Z,0,You don't know who controls the markets actually.....
@Star6-f6m,2025-03-31T20:43:28Z,0,https://youtu.be/vU_lL1JQK10?si=o4W5Il96SqPJC370
@aswin05,2025-03-31T19:14:44Z,0,When stock market crashes people go for gold
@wayfaring.s,2025-03-31T18:44:43Z,0,B-school placements are severely impacted because of the economic uncertainty. Hope it all improves soon
@mahiralrafid7767,2025-03-31T18:12:52Z,0,It's like America is sanctioning themselves 😂😂😂
@rishabh7743,2025-03-31T17:43:40Z,0,"bro even in this economy , lakhs of indian students are moving abroad for masters taking massive loans and risking it all. pls drop a message for them. also whats ur view on this, should indian students do masters from abroad top universities in this economy.
your reply will be very helpful to lakhs of middle class indians."
@DaniD333,2025-03-31T17:37:58Z,0,Dont believe anyone what they say. Learn how to read charts and statistics they tell u the truth. If it dont convince u then dont invest. Wait for right time. Rest u can watch any influencer for validation Biasness.
@arnab_5678,2025-03-31T17:25:49Z,0,Sir can u please make a video on why ceramic factors are sinking in India?
@mahanmohan,2025-03-31T16:37:08Z,0,Talk about inequality please! Also talk about tax havens.
@mayankjha3563,2025-03-31T15:52:01Z,1,"I think that the trade war will be beneficial for india because india can promote itself as a reliable alternative to china. For ex: US companies might consider establishing atleast assembly units in india to bypass chinese tariffs which will inturn create a supplier ecosystem in india, as we have seen it in the mobile and pharma manufacturing. However, there is a chance that this trade war might not be sustainable for usa and might end quickly, which will bring more uncertainty."
@marlenegomes6501,2025-03-31T13:42:03Z,0,Good video and explanation. Pls don't rush your words towards the end of your videos. Continue talking in a paced manner until the end. Just a note to keep in mind.
@NathanEllisBodi,2025-03-31T12:51:58Z,17,"As a brit, just wanted to say how interesting your video was. Its refreshing to watch something free of the usual bias that comes from many other program productions."
@Kry941,2025-03-31T11:07:38Z,0,https://youtu.be/mL3ZQIT7mM4?si=1XjDI7t2t3UvgRd7
@neeleshbatham4722,2025-03-31T08:29:29Z,0,"The phrase  reminds me of the 9th standard French Revolution.""when france sneezes everyone in Europe catches cold""."
@johnreji3929,2025-03-31T08:17:04Z,0,Trump is the dumbest president America had hope he will be prosecuted or people fight back by coming to the streets.
@Rogeraherr,2025-03-31T07:35:37Z,922,"It's sad how difficult things have become in this recessive economy. I was wondering how to utilize some money I had. I used some of it for e-commerce business, but that sank. I'm thinking of how to protect my $150K-worth stock portfolio from decline, but haven't figured which way to go."
@originalShaheenRiaz,2025-03-31T06:28:38Z,0,Downfall of international brands nation will make there own brands if cold war or tarif starts
@achaiahmukkatira6887,2025-03-31T04:43:14Z,0,India government officials politicians majority looterof nation.most inefficient liability to country.
@jaythakkar1392,2025-03-31T04:01:43Z,3,Man the way you explain the case studies is way better than my MBA classes. Glad to find you on internet❤
@maheksorathiya3518,2025-03-31T03:06:27Z,1,8:40 You didn't include 100000 rs capital invested he will get after the maturity of that bond.
@Psai4456,2025-03-31T02:38:09Z,0,In 20 years. Every year  people say recession is starting this year 😂😂😂😂😂
@sibitommathews51,2025-03-31T01:55:06Z,0,"This curve was like this for close to 2 years. You are 2 years too late. Nothing is gonna happen, it's gonna be OK for US, rest of the world not so...."
@GAMINGWITHBATM,2025-03-31T01:43:13Z,0,"That south indian accent 😂😂😂, feels like he speaking with idli dosa in his mouth"
@JoNf-lp1tf,2025-03-31T01:28:11Z,0,"India should limit its exposure to American dependency. It starts with an educated group of people that are in Stem. An economic of educated individuals vs a nation with an abundance of natural resources, I would bet on the economic with the educated population because they can deal with scarcity."
@udaysingh-vo2wy,2025-03-30T20:56:28Z,0,"What is trade? Even exchange, is it not!"
@udaysingh-vo2wy,2025-03-30T20:54:22Z,2,"Companies are still making the profits by increasing cost ailing tariffs, so why is stock price going down ? Your explanation is clear as mud 😮"
@KritiJain29,2025-03-30T20:42:07Z,0,"Thanks for explaining the topic so well, I am planning to go for an MBA in a tier 1 b-school in India, the problem of recession is real and job market is very uncertain , as MBA is a financially heavy investment I am opting for a student loan which I will repay post getting placed one year after my course completion.
What would you suggest here?
I am already working in a good company and am a commerce grad , going for an MBA to accelerate my growth. 
However looking at the uncertainty i am scared because of heavy financial investment.
Can you share your inputs here please?
Thanks a lot in advance!"
@KritiJain29,2025-03-30T20:41:17Z,0,"I am planning to for an MBA in a tier 1 b-school in India, the problem of recession is real and job market is very uncertain , as MBA is a financially heavy investment I am opting for a student loan which I will repay post getting placed one year after my course completion.
What would you suggest here?
I am already working in a good company and am a commerce grad , going for an MBA to accelerate my growth. 
However looking at the uncertainty i am scared because of heavy financial investment.
Can you share your inputs here please?
Thanks a lot in advance!"
@TupacUS711,2025-03-30T19:51:54Z,0,"Abay yar ye band kro bakvas ke america is collapsing. They are modifying current economic and banking system, nothing else. Why would US always feed the whole world? It's time for a world to feed US."
@mentality5571,2025-03-30T19:02:07Z,0,"Business men always thing for a long run
Made in America or any country will boom the market internally."
@saiganesh2001,2025-03-30T18:11:56Z,0,"Hey Ganesh! I have been your subscriber since this channel stated, Your content has been repetitive these days of old content with new current affairs which is sort of becoming boring these days, looking forward for fresh and exciting content!"
@nijadhav,2025-03-30T15:50:18Z,0,You guys report what AstroKapoor and other astrologers predict way before. No not undermining your analysis and research but only bringing to fore the importance of ancient science based on astrology and spirituality which are predicted the mayhem way ahead in time (decades ago).
@Othique,2025-03-30T14:52:15Z,1,"US American here, I think we all better prepare for the worst and hope for the best. The advice going around certain communities here in the USA is to start getting close to your neighbors to avoid a civil war. Start getting involved in local mutual aid programs so that when everything crashes we can try to help support one another.

I've been trying to get a food garden growing since 2021 because I saw how awful things were going and knew if Trump got back in again he would destroy everything (I believe he's a foreign plant and his purpose IS to destroy the USA so I don't expect any good outcome).

However, I live in a harsh climate with summers so hot it burns plants to death and winters so cold it freezes their roots. Also, I know that if shit really goes down, people in the neighborhood will steal anything we have growing (we live in the city and somebody I live with refuses to put up a fence that blocks the view into our yard). So, I doubt any of my doomsday prepping is going to be effective.. mostly because I'm surrounded by idiots who keep saying ""nahh... it'll be fine"" and every year they're proven wrong.

Don't be like the people here. Expect the worst. If the worst doesn't come, be happy about it... but don't expect anything but the worst.

And start learning a manual trade. I read an article by somebody who survived the collapse of Russia and they said soap become very valuable. So, perhaps learn soap making skills... if you know where to source vegetable oil from, anyway. Or perhaps learn to make vegetable oil."
@manojthakur-no8jr,2025-03-30T14:35:36Z,0,TRUMP the DUMB ! ! !
@nupursethi9475,2025-03-30T13:18:03Z,0,Are you referring to DD India content???
@rushitsenghani8887,2025-03-30T13:07:16Z,0,India has chance again to supply USA.
@ajeesh3485,2025-03-30T12:30:26Z,0,What about nvidia launching their crappy new product line up??
@amanbhandari3762,2025-03-30T11:42:25Z,0,the yellow 'big ' book full name please
@Ggggggggg78679,2025-03-30T11:04:35Z,0,But china stock market is increasing only. Show that
@Maheshkumar-pm8cm,2025-03-30T09:35:10Z,2,The channel that explains both the financial and economic conditions in a simple way to understand people keep making videos like this brother 🎉
@Maheshkumar-pm8cm,2025-03-30T09:33:51Z,0,I couldn't understand why Indian IT companies loose their 50% income if there's bad economic conditions in america??
@themahesh2168,2025-03-30T08:43:09Z,0,"Actually US stock could go low but NO recession , because entire stock market controlled by left wing corporations."
@amitr4385,2025-03-30T07:37:50Z,0,Is thinkschool sold ?
@mortenmadsen3661,2025-03-30T07:16:41Z,0,Can you explain what will happen now that Trump will devaluate the US Dollar a lot.
@RUPESH-u7n,2025-03-30T06:52:39Z,0,"I don't know why some people of our country only talk negative about our economy and development of our lovely country they just say - we can't do it , we are 100 year back of china etc and only blame politicians while they themselves don't do nothing just scroll and comment if  they really have so much knowledge why don't they become ias,ips or else join any other government organisations and work to improve the system just comments not working and even if they can not do it just learn some civic sense I think countries 99% solved if people improve their behaviour towards government, government organisations, government jobs instead of just blaming government."
@ASTROMURTHY,2025-03-30T06:37:04Z,0,Recession in America will weaken Russia military despots
@lotusvines3698,2025-03-30T06:19:28Z,0,You are so fool to consider valuation of Companies with GDP of India
@deepjyotidas2881,2025-03-30T05:29:59Z,1,Thanks. Interesting and knowledgeable
@Ali.Ahme.D.Khan.,2025-03-30T04:53:45Z,2,"The way you’ve made complex topics so simple, thank you so much !"
@yaphonghor4409,2025-03-30T03:31:42Z,0,"India's world trade is insignificant, so the US tariff is not going to affect India much at all!"
@birendrachoubey6122,2025-03-30T02:37:42Z,0,What if trump announces roll back of tarrifs?
@MadhumitaRoy-i2l,2025-03-29T22:19:58Z,0,Totally stop of US economy
@MilanGurung-w4t,2025-03-29T21:29:52Z,0,Greed will put you in grave that’s the third law
@Rahulhrishikesh,2025-03-29T20:54:23Z,1,"Hey man! I appreciate the work you’ve chosen to spend your valuable time on. I work in Sales intelligence and it’s inspiring to see someone set the standard for Indian content, for the western viewer. It really is a great rep for our understanding of where we stand! Your work is inspiring and i hope the Government of India recognises your work!"
@ushasharma6373,2025-03-29T20:50:01Z,0,Trump is thick head he is destroying his own country he has to wake up otherwise he will end up like zele he get read off Indians but he should know that Indian is running America 🇺🇸 he think he can rule the world but this is not right time fr uk 🇬🇧
@RajaWaric,2025-03-29T20:31:45Z,0,A Good Video 🧿🤘🏻
@parshuramshakti2934,2025-03-29T19:33:51Z,0,English accent is very difficult to understand. Go slow and speak clear
@krisforu1986,2025-03-29T19:04:24Z,0,Which trump concentrates more on growing economy than tarrifs
@mikelarry3065,2025-03-29T19:02:57Z,0,Pay up.
